"location" "date" "time" "site" "rl" "length_m" "barnacles" "distortionr_m" "age" "magic_thaums"
"1601" "E" "07/10/2024" "11:17:00" "1" "L" 52 10 20 14 635.463345441508
"1602" "E" "07/10/2024" "11:17:00" "1" "R" 25 3 8 7 393.417376986443
"1603" "E" "07/10/2024" "11:17:00" "2" "L" 54 0 6 19 558.422600757251
"1604" "E" "07/10/2024" "11:17:00" "2" "R" 37 0 3 24 478.614519675906
"1621" "E" "06/10/2024" "10:20:00" "1" "L" 47 2 65 20 621.741135774329
"1622" "E" "06/10/2024" "10:20:00" "1" "R" 20 0 58 15 195.857332536179
"1623" "E" "06/10/2024" "10:20:00" "2" "L" 70 0 5 12 635.440575075944
"1624" "E" "06/10/2024" "10:20:00" "2" "R" 37 0 39 23 171.349669515228
"1641" "W" "06/10/2024" "10:45:00" "1" "L" 46 0 140 20 593.18735426587
"1642" "W" "06/10/2024" "10:45:00" "1" "R" 33 0 24 22 366.722214730891
"1643" "W" "06/10/2024" "10:45:00" "2" "L" 56 0 110 32 649.694219228764
"1644" "W" "06/10/2024" "10:45:00" "2" "R" 42 3 90 19 427.167799508507
"1661" "E" "30/09/2024" "15:15:00" "1" "L" 46 0 1 19 278.389667933165
"1662" "E" "30/09/2024" "15:15:00" "1" "R" 24 4 12 21 376.779050676298
"1663" "E" "30/09/2024" "15:15:00" "2" "L" 63 1 21 17 586.158225782904
"1664" "E" "30/09/2024" "15:15:00" "2" "R" 32 1 0 10 282.7455394321
"1681" "E" "07/10/2024" "11:00:00" "1" "L" 50 2 14 12 713.365602580936
"1682" "E" "07/10/2024" "11:00:00" "1" "R" 37 0 19 11 414.411538875364
"1683" "E" "07/10/2024" "11:00:00" "2" "L" 52 2 15 14 468.677943676526
"1684" "E" "07/10/2024" "11:00:00" "2" "R" 51 1 30 12 461.887562470664
"1701" "E" "29/09/2024" "14:07:00" "1" "L" 60 5 4 8 767.279084581236
"1702" "E" "29/09/2024" "14:07:00" "1" "R" 25 0 21 14 327.69269628066
"1703" "E" "29/09/2024" "14:07:00" "2" "L" 74 100 12 15 730.660362183255
"1704" "E" "29/09/2024" "14:07:00" "2" "R" 63 4 8 30 706.381442659054
"1721" "W" "28/09/2024" "14:45:00" "1" "L" 66 0 17 19 668.860557266881
"1722" "W" "28/09/2024" "14:45:00" "1" "R" 31 0 42 13 383.005682143568
"1723" "W" "28/09/2024" "14:45:00" "2" "L" 58 0 16 17 452.510917118845
"1724" "W" "28/09/2024" "14:45:00" "2" "R" 35 0 4 26 158.311922396502
"1741" "W" "07/10/2024" "12:00:00" "1" "L" 36 3 14 34 420.764013002187
"1742" "W" "07/10/2024" "12:00:00" "1" "R" 19 0 52 23 424.039975885819
"1743" "W" "07/10/2024" "12:00:00" "2" "L" 55 1 25 29 362.300722133761
"1744" "W" "07/10/2024" "12:00:00" "2" "R" 36 0 7 15 449.073938722872
"1761" "E" "02/10/2024" "17:00:00" "1" "L" 40 0 0 43 630.596228636492
"1762" "E" "02/10/2024" "17:00:00" "1" "R" 25 0 6 13 244.670990979147
"1763" "E" "02/10/2024" "17:00:00" "2" "L" 66 4 1 16 520.262326568773
"1764" "E" "02/10/2024" "17:00:00" "2" "R" 55 4 19 16 593.865261973189
"1781" "E" "30/09/2024" "15:15:00" "1" "L" 37 3 20 12 534.451138410234
"1782" "E" "30/09/2024" "15:15:00" "1" "R" 26 0 62 14 293.9496013513
"1783" "E" "30/09/2024" "15:15:00" "2" "L" 66 9 18 11 572.216338335255
"1784" "E" "30/09/2024" "15:15:00" "2" "R" 37 20 8 34 246.0665004609
"1801" "E" "05/10/2024" "08:09:00" "1" "L" 52 15 11 26 534.790364319908
"1802" "E" "05/10/2024" "08:09:00" "1" "R" 15 0 35 12 75.5188068491729
"1803" "E" "05/10/2024" "08:09:00" "2" "L" 63 1 80 9 621.771175068756
"1804" "E" "05/10/2024" "08:09:00" "2" "R" 37 0 11 11 546.720169091372
"1821" "W" "28/09/2024" "16:00:00" "1" "L" 45 3 130 27 433.151812156359
"1822" "W" "28/09/2024" "16:00:00" "1" "R" 36 1 35 26 421.702692396063
"1823" "W" "28/09/2024" "16:00:00" "2" "L" 53 0 140 27 579.905730386155
"1824" "W" "28/09/2024" "16:00:00" "2" "R" 57 0 250 43 678.464735012915
"1841" "E" "04/10/2024" "19:30:00" "1" "L" 41 0 33 12 265.581293667947
"1842" "E" "04/10/2024" "19:30:00" "1" "R" 34 2 53 17 513.294073390089
"1843" "E" "04/10/2024" "19:30:00" "2" "L" 62 1 5 12 678.921056143412
"1844" "E" "04/10/2024" "19:30:00" "2" "R" 51 4 16 19 425.667334908271
"1861" "W" "27/09/2024" "14:10:00" "1" "L" 45 0 18 23 368.792988453455
"1862" "W" "27/09/2024" "14:10:00" "1" "R" 37 3 18 14 494.884663928152
"1863" "W" "27/09/2024" "14:10:00" "2" "L" 58 0 2 14 657.812288632024
"1864" "W" "27/09/2024" "14:10:00" "2" "R" 43 0 40 25 210.977345108316
"1881" "W" "10/03/2024" "14:00:00" "1" "L" 42 4 220 23 484.212190918079
"1882" "W" "10/03/2024" "14:00:00" "1" "R" 37 3 130 15 398.456349750788
"1883" "W" "10/03/2024" "14:00:00" "2" "L" 65 4 280 19 763.298821302293
"1884" "W" "10/03/2024" "14:00:00" "2" "R" 49 1 140 17 458.011766136779
"1901" "W" "05/10/2024" "19:20:00" "1" "L" 50 0 50 11 504.614046169698
"1902" "W" "05/10/2024" "19:20:00" "1" "R" 28 0 15 21 481.228675976036
"1903" "W" "05/10/2024" "19:20:00" "2" "L" 62 0 19 10 498.557321864623
"1904" "W" "05/10/2024" "19:20:00" "2" "R" 48 0 14 20 321.078985932838
"1921" "W" "06/10/2024" "10:30:00" "1" "L" 38 2 6 9 463.000980532971
"1922" "W" "06/10/2024" "10:30:00" "1" "R" 23 0 2 4 354.66689910124
"1923" "W" "06/10/2024" "10:30:00" "2" "L" 57 0 8 6 576.18210997352
"1924" "W" "06/10/2024" "10:30:00" "2" "R" 31 0 14 13 30.3425561234949
"1941" "E" "30/09/2024" "15:34:00" "1" "L" 36.9 0 1 11.3 689.596021666941
"1942" "E" "30/09/2024" "15:34:00" "1" "R" 18.3 0 60 14 146.221209340947
"1943" "E" "30/09/2024" "15:34:00" "2" "L" 45.4 0 13.3 19.4 421.339402435323
"1944" "E" "30/09/2024" "15:34:00" "2" "R" 37 0 40 33.3 381.37002112441
"1961" "W" "02/10/2024" "17:50:00" "1" "L" 44 2 0 23 559.237204042666
"1962" "W" "02/10/2024" "17:50:00" "1" "R" 18 0 12 15 377.847657057119
"1963" "W" "02/10/2024" "17:50:00" "2" "L" 56 1 1 39 676.17829191903
"1964" "W" "02/10/2024" "17:50:00" "2" "R" 54 2 27 18 511.451861695843
"1981" "W" "05/10/2024" "09:10:00" "1" "L" 54 1 105 21 617.244211091269
"1982" "W" "05/10/2024" "09:10:00" "1" "R" 23 0 96 26 350.029556623194
"1983" "W" "05/10/2024" "09:10:00" "2" "L" 71 0 108 26 825.23700159911
"1984" "W" "05/10/2024" "09:10:00" "2" "R" 35 0 89 25 252.871399130435
"2001" "W" "29/09/2024" "15:05:00" "1" "L" 40 0 84 20 412.028280508721
"2002" "W" "29/09/2024" "15:05:00" "1" "R" 25 0 240 19 284.98721965687
"2003" "W" "29/09/2024" "15:05:00" "2" "L" 59 0 43 27 565.961363698468
"2004" "W" "29/09/2024" "15:05:00" "2" "R" 44 0 30 32 404.304563726299
"2021" "E" "27/09/2024" "13:09:00" "1" "L" 35 0 54 12 450.815923941137
"2022" "E" "27/09/2024" "13:09:00" "1" "R" 20 0 28 12 326.110884622237
"2023" "E" "27/09/2024" "13:09:00" "2" "L" 51 0 36 15 451.936566240811
"2024" "E" "27/09/2024" "13:09:00" "2" "R" 27 0 8 21 81.5729903740777
"2041" "E" "30/09/2024" "15:30:00" "1" "L" 51 0 97 22 576.585654310478
"2042" "E" "30/09/2024" "15:30:00" "1" "R" 39 0 64 34 311.770800687739
"2043" "E" "30/09/2024" "15:30:00" "2" "L" 46 0 45 24 241.999015157148
"2044" "E" "30/09/2024" "15:30:00" "2" "R" 41 0 32 29 211.497983225252
"2061" "E" "06/10/2024" "11:30:00" "1" "L" 34 14 27 17 445.89818714828
"2062" "E" "06/10/2024" "11:30:00" "1" "R" 22 0 36 28 479.127662527745
"2063" "E" "06/10/2024" "11:30:00" "2" "L" 37 8 42 39 354.83480477554
"2064" "E" "06/10/2024" "11:30:00" "2" "R" 34 0 37 22 213.379674327639
"2081" "E" "29/09/2024" "15:02:00" "1" "L" 30 1 5 24 412.822681571219
"2082" "E" "29/09/2024" "15:02:00" "1" "R" 27 0 10 23 397.842762997126
"2083" "E" "29/09/2024" "15:02:00" "2" "L" 53 1 2 26 393.176523543476
"2084" "E" "29/09/2024" "15:02:00" "2" "R" 36 0 7 18 283.995075424626
"2101" "W" "06/10/2024" "09:30:00" "1" "L" 31 0 29 16 308.144584006618
"2102" "W" "06/10/2024" "09:30:00" "1" "R" 22 0 43 18 77.9845432221467
"2103" "W" "06/10/2024" "09:30:00" "2" "L" 59 0 11 34 588.839734386747
"2104" "W" "06/10/2024" "09:30:00" "2" "R" 41 1 32 20 398.372839889443
"2121" "W" "03/10/2024" "17:00:00" "1" "L" 22 1 20 18 199.790009288082
"2122" "W" "03/10/2024" "17:00:00" "1" "R" 20 0 85 15 370.560465862825
"2123" "W" "03/10/2024" "17:00:00" "2" "L" 55 1 35 20 387.132383439453
"2124" "W" "03/10/2024" "17:00:00" "2" "R" 55 0 35 13 517.43139726114
"2141" "W" "06/10/2024" "10:00:00" "1" "L" 52 0 30 18 729.997072011682
"2142" "W" "06/10/2024" "10:00:00" "1" "R" 40 0 70 48 358.809717772917
"2143" "W" "06/10/2024" "10:00:00" "2" "L" 70 0 60 12 727.777746747364
"2144" "W" "06/10/2024" "10:00:00" "2" "R" 52 0 46 33 469.207750280434
"2161" "W" "05/10/2024" "13:50:00" "1" "L" 29 0 4 31 530.642378441551
"2162" "W" "05/10/2024" "13:50:00" "1" "R" 23 0 23 17 286.784127982349
"2163" "W" "05/10/2024" "13:50:00" "2" "L" 48 3 65 42 485.398584651186
"2164" "W" "05/10/2024" "13:50:00" "2" "R" 27 0 34 11 278.423318730472
"2181" "W" "14/10/2024" "16:08:00" "1" "L" 65 0 0 22 720.847163339112
"2182" "W" "14/10/2024" "16:08:00" "1" "R" 43 2 0 33 654.309406011426
"2183" "W" "14/10/2024" "16:08:00" "2" "L" 72 0 30 55 632.451285857323
"2184" "W" "14/10/2024" "16:08:00" "2" "R" 65 0 0 48 591.443669478227
"2201" "W" "10/02/2024" "16:30:00" "1" "L" 48 0 9 21 697.131449950934
"2202" "W" "10/02/2024" "16:30:00" "1" "R" 32 0 15 16 374.289066641943
"2203" "W" "10/02/2024" "16:30:00" "2" "L" 47 0 8 15 372.280627423328
"2204" "W" "10/02/2024" "16:30:00" "2" "R" 44 0 15 25 251.667218799394
